Description,Price,Rating,Review Count,URL
"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Metal Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG","₹46,490",3.8 out of 5 stars,398,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjQ5NDIwNDkxMTAxNDg6MTcxNjg5NTk0MjpzcF9hdGY6MzAwMTY0NDc3NzA0NjMyOjowOjo&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CY1YWC3Y%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716895942%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Dell 14 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/Thin & Light 1.48kg","₹35,990",3.8 out of 5 stars,601,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjQ5NDIwNDkxMTAxNDg6MTcxNjg5NTk0MjpzcF9hdGY6MzAwMDY4Mzk5MjkwNzMyOjowOjo&url=%2FDell-14-Rheinland-Certified-Comfortview%2Fdp%2FB0BQJ9HZPP%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1716895942%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16 GB RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black","₹17,299",3.8 out of 5 stars,247,https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE&dib_tag=se&keywords=laptops&qid=1716895942&sr=8-3
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","₹21,180",3.8 out of 5 stars,294,https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE&dib_tag=se&keywords=laptops&qid=1716895942&sr=8-4
"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU","₹37,781",4.0 out of 5 stars,917,https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE&dib_tag=se&keywords=laptops&qid=1716895942&sr=8-5
"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W","₹22,990",4.0 out of 5 stars,"1,490",https://www.amazon.in/ASUS-Vivobook-35-56-1920-1080/dp/B0CZXM6V2X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE&dib_tag=se&keywords=laptops&qid=1716895942&sr=8-6
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB,MSO,Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fq5330TU","₹54,490",4.0 out of 5 stars,917,https://www.amazon.in/HP-i5-1235U-15-6-inch-Graphics-Speakers/dp/B0CTKHTNWL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE&dib_tag=se&keywords=laptops&qid=1716895942&sr=8-7
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","₹16,990",3.7 out of 5 stars,"4,009",https://www.amazon.in/Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B00OKAFZHO/ref=sr_1_8?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE&dib_tag=se&keywords=laptops&qid=1716895942&sr=8-8
"(Refurbished) HP Chromebook 13 G1 6th Gen Intel Core m5 FHD Thin & Light Laptop (8 GB RAM| 32 GB eMMC Storage| 13.3"" (33.8 cm) FHD| Chrome OS| WiFi| Bluetooth| Webcam| Intel Graphics)","₹12,999",3.5 out of 5 stars,4,https://www.amazon.in/Refurbished-HP-Chromebook-Bluetooth-Graphics/dp/B0D335SPLQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE&dib_tag=se&keywords=laptops&qid=1716895942&sr=8-9
"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","₹34,999",3.9 out of 5 stars,336,https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CB7S1RTX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.k3xERNfFxMGReJzPTFX5uiC_VsWnJucmG8N0aVvbFDPtwFdB3_yeSIefCzLQxH4XrBuovp48YjwFldC-f5CIcCcdQIt7LmXEDlI3eFeWAaplCHT6WD7USGhkveUn6nE6Eut0C8plpHuhOt0FfPPofaRLM6DoCkkekIKy0x9dBe1Tgkm7x6ON8EhkVF0I0kxsMH_cKGXXA3LGVE_p207kW93OAjYweqQnF3wHlSVVO90.9n6saQigtaiG3h-G6hzpsLRLBk7TWVCRunDBKtFyTKE&dib_tag=se&keywords=laptops&qid=1716895942&sr=8-10
